Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Amanda Scott,Data Scientist,"Machine Learning, Deep Learning, R, Python, TensorFlow",14,Bachelor's,None,South Kevinfurt
Valerie Arnold,AI Engineer,"Machine Learning, Python, NLP, Deep Learning",9,Bachelor's,AWS Certified,Samanthahaven
Lucas Tapia,Data Scientist,"Python, TensorFlow, Pandas, R, Machine Learning",6,PhD,Google Data Engineer,New Meganberg
Maria Scott,Data Scientist,"R, Deep Learning, Python, Pandas",8,Master's,Google Data Engineer,North Christymouth
Valerie Moran,AI Engineer,"Python, AI Systems, Machine Learning, TensorFlow, Deep Learning",12,Master's,Google Data Engineer,Frenchton
Taylor Henderson,AI Engineer,"TensorFlow, Deep Learning, Python",15,Master's,AWS Certified,North Jeffreyland
Raven Davis,Data Engineer,"ETL, Python, Spark",5,Master's,Microsoft Azure,South Michaelborough
Kelly Price,AI Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, AI Systems, NLP",12,PhD,AWS Certified,Lopezfurt
Edgar Hart,Data Analyst,"Data Visualization, SQL, Power BI, Excel",4,Master's,Google Data Engineer,East Christine
Mary Brown,Data Engineer,"ETL, SQL, Python, Kafka",14,Master's,Microsoft Azure,Leeview
Ryan Reed,Data Analyst,"SQL, Tableau, Excel, Data Visualization, Python, Power BI",9,Master's,None,North Tiffany
David Weiss,AI Engineer,"Machine Learning, AI Systems, Deep Learning, TensorFlow",13,PhD,Microsoft Azure,East Brian
Jennifer Miller,ML Engineer,"PyTorch, NLP, Python, Scikit-learn, TensorFlow, Keras",12,Bachelor's,None,Potterburgh
Kelsey Bowman,AI Engineer,"TensorFlow, Machine Learning, Deep Learning, AI Systems",12,Bachelor's,Microsoft Azure,Donaldchester
Austin Hernandez,AI Engineer,"NLP, Python, Machine Learning, Deep Learning, AI Systems, TensorFlow",10,Bachelor's,Google Data Engineer,North Michael
Isabella Holloway,ML Engineer,"Python, NLP, TensorFlow, PyTorch",12,PhD,None,Port Alexistown
Justin Collins,AI Engineer,"NLP, TensorFlow, Deep Learning, Python",10,Master's,Microsoft Azure,Colechester
Joseph Blankenship,Data Scientist,"Deep Learning, R, Machine Learning, Python",2,Bachelor's,AWS Certified,North Valeriehaven
Alison Hill,Data Scientist,"Python, Deep Learning, R, Pandas, TensorFlow, Machine Learning",12,PhD,Microsoft Azure,North Angelaton
Michelle Hamilton,Data Analyst,"Data Visualization, SQL, Excel, Python, Tableau, Power BI",7,PhD,Microsoft Azure,Port Timothyton
Carl Johnson,Data Engineer,"Hadoop, Spark, SQL, AWS, Kafka",5,Master's,Google Data Engineer,New Richardtown
Robert Green,Data Analyst,"Tableau, Power BI, SQL, Data Visualization, Excel, Python",4,PhD,Google Data Engineer,Krististad
Heather Ramos,ML Engineer,"TensorFlow, Python, Scikit-learn",9,Bachelor's,AWS Certified,Lisahaven
Jason Austin,Data Analyst,"Power BI, SQL, Python, Data Visualization, Excel, Tableau",1,PhD,AWS Certified,North Derek
Carl Ellis,AI Engineer,"Python, TensorFlow, Machine Learning",5,Bachelor's,Google Data Engineer,New Lesliechester
Jessica Vasquez,Data Scientist,"R, Python, TensorFlow, Pandas",9,PhD,None,Michaelfurt
Kimberly Martinez,AI Engineer,"AI Systems, Deep Learning, Python, TensorFlow, NLP, Machine Learning",8,Master's,AWS Certified,Taylorland
Lisa Cunningham,Data Scientist,"Deep Learning, TensorFlow, Pandas, Python, R, Machine Learning",3,Master's,Google Data Engineer,South Annafurt
Kenneth Young,Data Scientist,"Deep Learning, Pandas, Python",12,PhD,Microsoft Azure,Port Christine
Catherine Johnson,Data Scientist,"Pandas, R, TensorFlow, Deep Learning",3,Bachelor's,AWS Certified,Danielsmouth
Christopher Hines,Data Scientist,"Pandas, R, Python, Machine Learning, TensorFlow",9,Bachelor's,AWS Certified,South Robert
Haley Schultz,ML Engineer,"PyTorch, Keras, TensorFlow, Scikit-learn",15,Bachelor's,Microsoft Azure,Acostafort
David Aguirre,Data Analyst,"Python, Data Visualization, Excel, Power BI, Tableau, SQL",2,Master's,Microsoft Azure,Lake Steven
Michelle Perry MD,Data Analyst,"Python, SQL, Excel",11,Bachelor's,Google Data Engineer,Zacharychester
Derek Garcia,Data Analyst,"Data Visualization, Power BI, SQL, Tableau, Python, Excel",5,Bachelor's,Google Data Engineer,Meganburgh
Ethan Simpson,AI Engineer,"AI Systems, NLP, Python, Machine Learning, Deep Learning",10,Master's,AWS Certified,West Davidtown
Jon Coleman,Data Engineer,"Python, Hadoop, ETL, Kafka, SQL",10,Master's,Google Data Engineer,Jasonfort
Sarah Scott,Data Scientist,"Python, Pandas, Machine Learning, TensorFlow, Deep Learning, R",3,Master's,None,West Angela
Brian Campbell,AI Engineer,"Machine Learning, AI Systems, Python, TensorFlow",14,PhD,Microsoft Azure,Cooperburgh
Erica Sanford,Data Engineer,"Spark, ETL, AWS, Python, SQL, Hadoop",12,Master's,Microsoft Azure,Huntland
Carla Brown,Data Engineer,"AWS, Spark, Python, Hadoop",8,Bachelor's,None,Lake Melanie
Ronald Weiss,Data Scientist,"R, TensorFlow, Python, Machine Learning",7,PhD,AWS Certified,Lake Courtneyfurt
Mrs. Amanda Cooper,Data Engineer,"Kafka, AWS, Spark",7,Bachelor's,Google Data Engineer,Johnsonland
Wayne Wilson,Data Scientist,"Pandas, Python, TensorFlow, Machine Learning",8,Master's,AWS Certified,Nunezmouth
Jackie Anderson,AI Engineer,"Python, AI Systems, Deep Learning, NLP, TensorFlow",10,PhD,Microsoft Azure,Harrisport
Carmen Baldwin,Data Analyst,"Python, Data Visualization, Excel",4,Bachelor's,Microsoft Azure,Lake Nicoleport
Lisa Smith,Data Scientist,"Machine Learning, Python, TensorFlow, R",3,Bachelor's,Google Data Engineer,Lindsayview
Brandon Powell,AI Engineer,"NLP, Python, Deep Learning",12,Master's,None,Lake Conniebury
Samantha Lucas,Data Scientist,"Python, Pandas, Machine Learning, R",3,Bachelor's,Google Data Engineer,North Markbury
Joel Hogan,AI Engineer,"NLP, Python, Machine Learning, AI Systems, Deep Learning",12,Master's,Google Data Engineer,Lake Aprilview
Abigail Martin,Data Scientist,"R, Pandas, Deep Learning, Python, TensorFlow",13,Master's,None,Lake Territon
Jennifer Hendricks,ML Engineer,"NLP, Python, Keras, Scikit-learn, PyTorch",10,PhD,Microsoft Azure,South Kaitlyntown
Anna Wilson,Data Scientist,"Deep Learning, R, Machine Learning, Pandas, TensorFlow",14,PhD,Google Data Engineer,Hodgesfurt
Nathan Alvarado,Data Scientist,"Pandas, TensorFlow, Machine Learning, Deep Learning, R",15,Master's,AWS Certified,West Jacqueline
Michael Reed,Data Scientist,"TensorFlow, Machine Learning, R",1,PhD,AWS Certified,Campbellhaven
Henry Lee,AI Engineer,"AI Systems, Machine Learning, Python, Deep Learning, NLP",15,Bachelor's,None,Lake Johnton
Andrew Houston,ML Engineer,"PyTorch, NLP, Scikit-learn, Keras",7,Bachelor's,AWS Certified,New Lauramouth
Tara Schmidt,ML Engineer,"Keras, Python, TensorFlow",8,Master's,Microsoft Azure,South Gregorystad
Daniel Ross,Data Scientist,"Deep Learning, Python, TensorFlow, Machine Learning, R, Pandas",6,Master's,Google Data Engineer,Wardchester
Carla Hall,ML Engineer,"NLP, TensorFlow, Keras, Python, Scikit-learn, PyTorch",8,Master's,Google Data Engineer,Raytown
Michael Wilcox,Data Scientist,"Machine Learning, Deep Learning, Pandas, TensorFlow, R",9,PhD,AWS Certified,Taylormouth
Melvin Medina,Data Analyst,"Python, Tableau, Excel, SQL, Power BI",10,Master's,AWS Certified,Christinebury
Corey Hodges,Data Analyst,"Excel, Tableau, Power BI, SQL, Data Visualization, Python",9,Master's,AWS Certified,Lake Mark
Bonnie Carroll,Data Analyst,"Power BI, Tableau, Data Visualization, Excel, Python, SQL",3,Bachelor's,None,North Brianborough
Colin Gibson,Data Engineer,"Python, ETL, AWS, Hadoop, SQL, Spark",10,Bachelor's,Microsoft Azure,Port Ian
Nancy Wright,ML Engineer,"NLP, Python, PyTorch, Keras, TensorFlow",12,PhD,Microsoft Azure,East Erika
Mckenzie Diaz,Data Scientist,"Python, R, Deep Learning",14,PhD,AWS Certified,South Samanthafort
Michele Norton,ML Engineer,"Keras, NLP, Scikit-learn, TensorFlow",3,Master's,AWS Certified,Port Brandonland
Susan Black,Data Engineer,"Hadoop, AWS, ETL, Python",4,PhD,None,East Jenna
Joel Burns,AI Engineer,"Deep Learning, Machine Learning, Python",14,Bachelor's,Google Data Engineer,New Matthew
Amy Wood,Data Scientist,"R, Machine Learning, Python, Deep Learning",7,Master's,Google Data Engineer,Larsonview
Jack Davenport,Data Analyst,"Power BI, Tableau, SQL, Data Visualization, Python",12,Bachelor's,AWS Certified,Julieland
Ashley Chen,Data Engineer,"Spark, AWS, ETL, Kafka",5,Bachelor's,AWS Certified,Kellyville
Debra Golden,Data Scientist,"Deep Learning, Python, R, TensorFlow, Machine Learning",3,Bachelor's,Google Data Engineer,New Daniel
Jason Williams,ML Engineer,"Keras, Scikit-learn, Python, NLP, PyTorch",7,Master's,Google Data Engineer,North Paulbury
Pamela Bailey,Data Scientist,"TensorFlow, Pandas, Deep Learning, Machine Learning, R",12,Master's,Microsoft Azure,Matafurt
Paul Woods,AI Engineer,"AI Systems, Deep Learning, TensorFlow, Python",5,PhD,AWS Certified,Kaiserchester
Lisa Glenn,Data Scientist,"Python, Deep Learning, TensorFlow",8,Bachelor's,Microsoft Azure,North Johnfurt
Zachary Cabrera,Data Scientist,"Machine Learning, Python, R",13,Bachelor's,AWS Certified,Jordanton
John Durham,Data Scientist,"R, Deep Learning, Python, Pandas, TensorFlow",9,Bachelor's,Microsoft Azure,New Brandon
Fernando White,ML Engineer,"Keras, Python, TensorFlow",9,Bachelor's,AWS Certified,West Tiffany
Angela Hernandez,Data Engineer,"Spark, SQL, Kafka, Python, AWS",15,Master's,Microsoft Azure,Reidside
Cassandra Ryan,Data Analyst,"Power BI, Tableau, SQL, Excel, Data Visualization",13,Master's,AWS Certified,New Kelly
Mark Harvey,Data Scientist,"Python, Machine Learning, Pandas, R, Deep Learning, TensorFlow",1,Master's,Microsoft Azure,Fernandofurt
Jennifer Perkins,Data Scientist,"Deep Learning, TensorFlow, Python, R, Machine Learning, Pandas",10,Master's,None,Cynthiastad
Karen Tucker,ML Engineer,"Python, Keras, NLP, PyTorch, TensorFlow, Scikit-learn",5,PhD,Microsoft Azure,Shawnburgh
Terri Patel,Data Scientist,"Machine Learning, Python, Pandas, Deep Learning",5,PhD,AWS Certified,South Jessicaberg
Lori Perez,ML Engineer,"Keras, TensorFlow, Scikit-learn, Python, PyTorch",11,Master's,AWS Certified,Port Derrick
Shelby Jenkins,Data Analyst,"Excel, Data Visualization, Tableau, Power BI",8,PhD,AWS Certified,New Tinaside
Christian Allen,Data Scientist,"R, Pandas, TensorFlow, Machine Learning",15,Master's,AWS Certified,Lake Charles
Sarah Alexander,ML Engineer,"Scikit-learn, NLP, PyTorch, Keras, Python, TensorFlow",8,PhD,AWS Certified,Schneiderburgh
Jennifer Rice,ML Engineer,"NLP, Python, PyTorch, Scikit-learn, Keras",7,PhD,Google Data Engineer,North Tara
Miss Carol Randolph,Data Analyst,"Python, Data Visualization, Excel, Tableau, Power BI, SQL",6,PhD,None,East Jennifer
Ronald Hogan,Data Analyst,"Excel, SQL, Tableau, Python, Data Visualization, Power BI",8,Master's,AWS Certified,Lake Stacytown
Jennifer Suarez,Data Scientist,"Deep Learning, Machine Learning, Pandas, R",6,PhD,None,West Shawn
Tami Lewis,AI Engineer,"Deep Learning, Python, AI Systems, TensorFlow, NLP, Machine Learning",7,Master's,Microsoft Azure,Bowenmouth
Elizabeth Greene,Data Analyst,"Data Visualization, Python, Tableau, Excel, Power BI",14,PhD,None,Lake Katrina
Samantha Wilkerson,Data Analyst,"SQL, Python, Power BI, Excel",6,Master's,None,West Suzanneshire
Jessica Mccarthy,Data Engineer,"ETL, Hadoop, Spark, AWS, Kafka, SQL",10,Master's,None,Jacobfort
Cesar Smith,Data Analyst,"Excel, Data Visualization, Power BI, SQL",10,Master's,None,Lake Mckenzie
Austin Harrington,Data Engineer,"Spark, Hadoop, Kafka, SQL, Python",15,Bachelor's,Microsoft Azure,East Lindafurt
Jeremy Conner,Data Analyst,"SQL, Power BI, Python, Tableau",1,Bachelor's,AWS Certified,Garciahaven
Zachary Zimmerman,Data Scientist,"Python, R, Machine Learning, Pandas, Deep Learning, TensorFlow",9,Master's,Microsoft Azure,New Robertburgh
Steven Rodriguez,Data Analyst,"Power BI, Excel, Data Visualization, Python, SQL",6,Bachelor's,None,West Austinfurt
Amanda Harper,Data Analyst,"Data Visualization, SQL, Python",5,PhD,AWS Certified,Anthonyborough
Mary Boyd,Data Scientist,"R, Machine Learning, Pandas, Deep Learning",11,PhD,AWS Certified,West Crystalfort
Robin Brown,AI Engineer,"Python, NLP, AI Systems",15,Bachelor's,None,Davishaven
Julie Nelson,Data Scientist,"Machine Learning, Python, TensorFlow, R, Pandas",13,Bachelor's,Microsoft Azure,Johnsonchester
Mark Brady,ML Engineer,"Python, TensorFlow, Scikit-learn, PyTorch",1,PhD,Microsoft Azure,East Pamela
Katelyn Cummings,Data Engineer,"SQL, Python, Spark, ETL, Kafka, AWS",13,Bachelor's,Microsoft Azure,Lopezside
Sara Walker,AI Engineer,"Python, Machine Learning, TensorFlow",8,Master's,Microsoft Azure,Charlesfurt
Alexandra West,Data Scientist,"Python, Pandas, Deep Learning, Machine Learning, TensorFlow, R",12,Master's,AWS Certified,Ryanton
Brian Knight,Data Engineer,"Kafka, Python, Spark, SQL",11,Master's,None,Mirandastad
Rachael Ramirez,Data Engineer,"Spark, AWS, Python, Kafka, Hadoop",4,PhD,AWS Certified,South Meghan
Jacob Cannon,Data Scientist,"TensorFlow, Machine Learning, R",8,Bachelor's,Google Data Engineer,North Noah
Tammy Stone,AI Engineer,"Python, TensorFlow, Deep Learning, NLP",4,PhD,AWS Certified,New Ronald
Robert Horn,Data Engineer,"SQL, AWS, Hadoop",4,Bachelor's,Microsoft Azure,Port Marytown
Justin Walls,Data Engineer,"Spark, Kafka, Python, SQL, Hadoop, ETL",7,PhD,Microsoft Azure,North Beth
Debra Payne,Data Scientist,"R, Python, Machine Learning, TensorFlow, Pandas",2,PhD,Google Data Engineer,Robertburgh
Mary Adams,Data Analyst,"Data Visualization, Python, Tableau, Excel",7,Bachelor's,None,South Samanthamouth
Margaret Rich,Data Engineer,"Python, Spark, Kafka, Hadoop, AWS, ETL",1,Master's,None,Smithshire
Bryce Burgess,Data Scientist,"Pandas, R, Python, Machine Learning, TensorFlow, Deep Learning",2,PhD,None,Tracyburgh
Nicholas Singh,AI Engineer,"Python, AI Systems, NLP, Deep Learning, TensorFlow",9,Master's,Google Data Engineer,Lake Wyattland
Steven Miles,Data Analyst,"Data Visualization, Power BI, Excel",2,Bachelor's,Google Data Engineer,Theresaborough
John Rich,ML Engineer,"TensorFlow, NLP, PyTorch, Python, Scikit-learn, Keras",13,Bachelor's,AWS Certified,New Brianatown
Jasmine Jackson,AI Engineer,"Deep Learning, Python, Machine Learning, NLP, TensorFlow",1,Master's,None,Davidfurt
Krystal Murphy,Data Scientist,"Machine Learning, Deep Learning, Python, Pandas, TensorFlow",5,Bachelor's,Google Data Engineer,West Misty
Tara Cordova,Data Analyst,"Tableau, SQL, Data Visualization, Python, Excel, Power BI",7,Master's,AWS Certified,Jonathanbury
Stephen Palmer,Data Scientist,"Python, Machine Learning, TensorFlow",8,Bachelor's,AWS Certified,South Blake
Brenda Moore,Data Engineer,"ETL, SQL, Spark, Python, Kafka",4,PhD,None,Jessicatown
Matthew Garcia,Data Scientist,"TensorFlow, Pandas, Python",12,Bachelor's,None,Kimberlystad
Julie Rojas,ML Engineer,"PyTorch, Scikit-learn, NLP",5,PhD,AWS Certified,Port Daniel
Isabella Kelley,AI Engineer,"AI Systems, Machine Learning, NLP, TensorFlow, Python, Deep Learning",10,Master's,AWS Certified,Cartermouth
Christian Grant,Data Scientist,"TensorFlow, Machine Learning, R",12,PhD,Microsoft Azure,Elizabethchester
Mary Henry,Data Engineer,"Spark, Kafka, Python, SQL",6,Bachelor's,Microsoft Azure,Jenniferside
Billy Fox,ML Engineer,"Scikit-learn, PyTorch, TensorFlow, Keras, NLP",12,Master's,Microsoft Azure,Ellishaven
Jesus Brewer,Data Analyst,"Data Visualization, Python, Excel, Tableau, Power BI, SQL",7,PhD,None,South Johnfurt
Tiffany Sosa,Data Engineer,"Hadoop, Kafka, Spark",6,Master's,None,North Rhonda
Marilyn Owens,Data Scientist,"TensorFlow, Python, Pandas, R",3,Master's,Google Data Engineer,New Carrie
Daisy Williams,Data Scientist,"Python, Pandas, Machine Learning, Deep Learning, R, TensorFlow",4,Master's,Microsoft Azure,West Yolandashire
Vanessa Baker,Data Analyst,"SQL, Python, Data Visualization, Power BI, Excel, Tableau",13,Bachelor's,Google Data Engineer,Beckburgh
Robert Singh,AI Engineer,"Deep Learning, Machine Learning, NLP, Python, TensorFlow",11,PhD,Microsoft Azure,Ericbury
Cody Campbell,Data Engineer,"Python, Spark, Hadoop, Kafka, ETL, AWS",14,Master's,Google Data Engineer,Bradleyburgh
Don Murphy,Data Analyst,"Python, Power BI, SQL, Excel, Data Visualization, Tableau",9,Master's,None,Sherihaven
Kelly Martinez,AI Engineer,"Deep Learning, Machine Learning, AI Systems, Python, NLP, TensorFlow",7,PhD,Google Data Engineer,Evansborough
Susan Thompson,ML Engineer,"Scikit-learn, Python, TensorFlow, NLP, Keras, PyTorch",12,Bachelor's,Google Data Engineer,Port Sarah
Amy White,Data Scientist,"Python, Deep Learning, Machine Learning, TensorFlow, R",10,PhD,Microsoft Azure,Williamsville
Tim Benton,Data Scientist,"Pandas, TensorFlow, Machine Learning, Deep Learning, R, Python",13,Master's,None,New Christopherview
Sarah Mitchell,Data Engineer,"ETL, Python, Kafka",8,Bachelor's,Google Data Engineer,Abigailshire
Scott Diaz,AI Engineer,"Machine Learning, NLP, AI Systems",15,PhD,Microsoft Azure,Jenniferborough
David Alvarez,Data Scientist,"R, Machine Learning, Deep Learning, Pandas",1,PhD,Microsoft Azure,Lake Paula
David Wilson,ML Engineer,"Python, PyTorch, NLP, TensorFlow, Scikit-learn, Keras",1,Bachelor's,AWS Certified,Johnsonberg
Andrew Prince,AI Engineer,"TensorFlow, NLP, Python",1,Master's,AWS Certified,Muellerstad
Olivia Jones,Data Scientist,"R, Pandas, Python, Machine Learning",9,Bachelor's,Google Data Engineer,Davidland
Traci Jones,Data Engineer,"ETL, Spark, Kafka",12,PhD,None,North Daisyville
Autumn Holt,ML Engineer,"TensorFlow, NLP, Scikit-learn, PyTorch, Python",11,PhD,AWS Certified,New Deannaland
Kristen Smith,Data Analyst,"Excel, SQL, Python, Power BI, Data Visualization",3,Bachelor's,Microsoft Azure,Nelsonbury
James Simmons,AI Engineer,"AI Systems, Python, NLP, Deep Learning, TensorFlow",1,Bachelor's,Microsoft Azure,East Amber
Patricia Cohen,Data Engineer,"Kafka, AWS, Spark, Hadoop",12,PhD,None,New Marcus
Glen Barton,Data Analyst,"Excel, SQL, Tableau, Power BI",6,PhD,Google Data Engineer,Lake Andrealand
Jose Taylor,Data Engineer,"Python, AWS, Kafka",9,PhD,None,Johnsonbury
Tiffany Gordon,Data Analyst,"Data Visualization, Python, Excel, Tableau",11,Master's,Google Data Engineer,South Shelbyburgh
Charles Gardner,Data Scientist,"TensorFlow, Pandas, Machine Learning",9,Master's,Google Data Engineer,East Chasehaven
Ray Hartman,Data Scientist,"TensorFlow, Python, Pandas",13,PhD,Google Data Engineer,Griffinton
Carmen Whitney,Data Scientist,"R, Pandas, Python, Machine Learning, TensorFlow",9,PhD,Google Data Engineer,Monroeburgh
Dakota Day,AI Engineer,"Machine Learning, AI Systems, Python, Deep Learning",14,Bachelor's,None,Port Rachel
Anthony Fisher,AI Engineer,"Deep Learning, Python, NLP, Machine Learning, TensorFlow, AI Systems",8,Bachelor's,None,Murphyshire
Maria Wong,ML Engineer,"NLP, Scikit-learn, TensorFlow, Python, Keras",8,PhD,AWS Certified,Hernandezchester
Tony Lee,AI Engineer,"Deep Learning, AI Systems, TensorFlow, NLP",13,Master's,None,Port Deborah
Michael Thompson,AI Engineer,"AI Systems, Python, NLP, Deep Learning, Machine Learning",10,PhD,Microsoft Azure,Lake Richardport
Karen Galvan,Data Scientist,"TensorFlow, Deep Learning, Python, R, Machine Learning",9,Master's,Google Data Engineer,South Suzanneview
Keith Middleton,Data Engineer,"SQL, Spark, Kafka, Python",15,PhD,Microsoft Azure,New Joshuachester
Terry Hall,ML Engineer,"TensorFlow, Python, Keras, Scikit-learn, NLP, PyTorch",3,Bachelor's,None,Lake Christopher
Carla Stone,AI Engineer,"Python, Deep Learning, AI Systems, NLP, Machine Learning",11,PhD,Google Data Engineer,Lake Caitlin
William Henderson,AI Engineer,"AI Systems, Python, TensorFlow, Deep Learning, Machine Learning, NLP",12,Bachelor's,Microsoft Azure,Port Meganstad
Andrew Sanders,ML Engineer,"Scikit-learn, Keras, TensorFlow",2,PhD,None,North Nicole
John Adams,Data Analyst,"Python, Tableau, SQL, Excel",14,Bachelor's,Microsoft Azure,North Susan
Ryan King,Data Scientist,"TensorFlow, R, Deep Learning, Python",1,PhD,AWS Certified,West Robertview
Hayden Avery,ML Engineer,"NLP, TensorFlow, Keras, Python, Scikit-learn, PyTorch",4,Master's,Microsoft Azure,South Jennifer
Tony Flowers,Data Engineer,"AWS, Kafka, ETL, Hadoop",6,Master's,AWS Certified,Port John
Julia Parker,Data Analyst,"SQL, Power BI, Tableau, Excel, Python",8,PhD,None,East Mariah
James Reese,Data Analyst,"Tableau, Power BI, SQL, Excel, Data Visualization",9,Bachelor's,AWS Certified,Davidfort
William Gutierrez,Data Scientist,"Machine Learning, Python, R, Deep Learning",14,Bachelor's,AWS Certified,Lake Theresa
